(427,191f) (1087,191f)
(1d,203) (c5,203)
(a1b,301d) (2e93,301d)
(ae5,125b) (d25,125b)
(2a1,afd) (7e1,afd)
(235,2ed) (1a5,2ed)
(545,6e9) (10d,6e9)
(3,55) (2b,55)
(5cf,abb) (80f,abb)
(4cb,913) (233,913)
(21d,2b9) (b5,2b9)
(a3,26f) (17b,26f)
(a1f,2bdb) (797,2bdb)
(1b23,2b0d) (27b3,2b0d)
(5a5,671) (22d,671)
(2519,2d8f) (14f9,2d8f)
(7a9,afd) (119,afd)
(1f,197) (97,197)
(16f,27b) (67,27b)
(11ed,13a5) (cad,13a5)
(d77,18a9) (ef,18a9)
(a7,229) (e3,229)
(355,1fc9) (117d,1fc9)
(4b9,967) (829,967)
(3d,1c3) (155,1c3)
(19d,8d7) (665,8d7)
(53,cb) (53,cb)
(1bb,7f1) (1eb,7f1)
(5f3,7e5) (167,7e5)
(56f,3319) (264b,3319)
(657,1747) (827,1747)
(f03,18a9) (603,18a9)
(39,4b7) (189,4b7)
(66b,b6b) (5ab,b6b)
(239,87d) (149,87d)
(1d9,20f) (89,20f)
(a3,12b) (73,12b)
(1e7,9c5) (337,9c5)
(25,4d) (d,4d)
(9,73) (31,73)
(141d,17ab) (1225,17ab)
(2bf,86f) (4ff,86f)
(11e9,15b9) (1bd,15b9)
(1a39,1def) (d49,1def)
(ab,19f) (d3,19f)
(56f,b5f) (6af,b5f)
(55d,6af) (2f5,6af)
(1405,2105) (3e5,2105)
(1609,1a6f) (871,1a6f)
(1543,1c03) (10d3,1c03)
(5f9,7a5) (131,7a5)
(a1,1e1) (a1,1e1)
(cef,1811) (ecf,1811)
(185,22f) (95,22f)
(8b,cb) (8b,cb)
(5b1,9af) (4d9,9af)
(fd,2bf) (18d,2bf)
(fb,18b) (b3,18b)
(119,57b) (2f9,57b)
(97f,c3b) (5bf,c3b)
(a9,2b9) (199,2b9)
(b9d,18af) (a75,18af)
(ad,53b) (3ad,53b)
(15d,2ff) (15d,2ff)
(131,229) (59,229)
(25,a3f) (265,a3f)
(1b5,7a5) (25d,7a5)
(281,15e9) (67d,15e9)
(1,c79) (1,c79)
(169,3af) (349,3af)
(dc7,2533) (23a7,2533)
(4af,171d) (11cf,171d)
(103d,12e9) (f59,12e9)
(10b1,2b0d) (2995,2b0d)
(167,53f) (497,53f)
(11,69b) (401,69b)
(595,86f) (63d,86f)
(3b9,21b9) (c89,21b9)
(ad,18b) (65,18b)
(bf,319) (29f,319)
(107,245) (113,245)
(6d,9b) (6d,9b)
(47,1d9) (47,1d9)
(449,d45) (5f9,d45)
